,transforms
44,"[array([[ 0.15727498, -0.98968552,  0.03938434, -0.050515  ],
       [ 0.98731166,  0.13844719,  0.01590285,  0.162655  ],
       [-0.02191502,  0.03680962,  0.99909758,  0.09843   ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
45,"[array([[ 0.16005391, -0.98871135,  0.05208872, -0.053925  ],
       [ 0.98685198,  0.14140268,  0.01431079,  0.1635525 ],
       [-0.02249247,  0.04954947,  0.99853992,  0.098098  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
46,"[array([[ 0.160629  , -0.98774335,  0.06961513, -0.058637  ],
       [ 0.98682921,  0.1405919 ,  0.00801888,  0.164357  ],
       [-0.01914253,  0.06780117,  0.99754169,  0.0978345 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
47,"[array([[ 0.15804008, -0.98776024,  0.07427801, -0.060691  ],
       [ 0.98716205,  0.13837499,  0.01146041,  0.1645985 ],
       [-0.02311756,  0.07198663,  0.99717172,  0.097855  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
48,"[array([[ 0.15237429, -0.9882913 ,  0.07677338, -0.0629415 ],
       [ 0.98807699,  0.13303375,  0.01040371,  0.1648445 ],
       [-0.02204421,  0.07471499,  0.99699429,  0.0978285 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
49,"[array([[ 0.12469548, -0.99112025,  0.08035479, -0.0705385 ],
       [ 0.99192834,  0.10731996,  0.01301334,  0.1651065 ],
       [-0.02300453,  0.0785052 ,  0.99668137,  0.097826  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
50,"[array([[ 0.07567469, -0.99506711,  0.08257813, -0.07892   ],
       [ 0.99679657,  0.05677513,  0.01960351,  0.1643535 ],
       [-0.02588318,  0.08135132,  0.99639177,  0.097841  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
51,"[array([[ 0.0050088 , -0.99640015,  0.0834508 , -0.085874  ],
       [ 0.99957172, -0.01259867,  0.02831415,  0.1632755 ],
       [-0.02883218,  0.08383326,  0.99610957,  0.0978575 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
52,"[array([[-0.04230223, -0.99446413,  0.08427495, -0.089465  ],
       [ 0.9987024 , -0.06026384,  0.03184655,  0.1624885 ],
       [-0.02835552,  0.08607765,  0.9959335 ,  0.0978915 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
53,"[array([[-0.04645681, -0.99418669,  0.08469381, -0.089297  ],
       [ 0.99852732, -0.06398294,  0.0318835 ,  0.1624385 ],
       [-0.0280169 ,  0.08659678,  0.99589678,  0.097905  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
54,"[array([[-0.04636201, -0.99406364,  0.08562033, -0.087158  ],
       [ 0.99852765, -0.06459517,  0.03206067,  0.1626955 ],
       [-0.02816188,  0.08754969,  0.99581187,  0.0979115 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
55,"[array([[-0.04674749, -0.99494949,  0.07454908, -0.0818155 ],
       [ 0.99862382, -0.0653478 ,  0.02722022,  0.1629505 ],
       [-0.02377276,  0.07619168,  0.99684577,  0.097694  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
56,"[array([[-0.02398448, -0.99666302,  0.0683154 , -0.075346  ],
       [ 0.99945115, -0.04309381,  0.02444206,  0.163154  ],
       [-0.02285036,  0.06932345,  0.99736432,  0.0976365 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
57,"[array([[ 0.02400147, -0.99789363,  0.06479647, -0.0689945 ],
       [ 0.99944457,  0.00452079,  0.02152154,  0.1639685 ],
       [-0.02311875,  0.06471371,  0.9976664 ,  0.0976905 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
58,"[array([[ 0.04154818, -0.99770911,  0.06473864, -0.067126  ],
       [ 0.9988402 ,  0.02107081,  0.02160971,  0.163887  ],
       [-0.02433115,  0.06428489,  0.99766825,  0.0977    ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
59,"[array([[ 0.04517171, -0.9972991 ,  0.06964837, -0.071103  ],
       [ 0.99869408,  0.02481095,  0.02068527,  0.164105  ],
       [-0.02386747,  0.06912974,  0.99735712,  0.097631  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
60,"[array([[ 0.03927806, -0.99693872,  0.07597305, -0.0786875 ],
       [ 0.99892297,  0.02017339,  0.02166312,  0.164134  ],
       [-0.02470107,  0.07553955,  0.99687452,  0.0976805 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
61,"[array([[-0.00634915, -0.99657482,  0.07798879, -0.0873785 ],
       [ 0.99954906, -0.02524736,  0.02975519,  0.162994  ],
       [-0.02934903,  0.07874773,  0.9965101 ,  0.0977415 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
62,"[array([[-0.07069698, -0.9922878 ,  0.08362358, -0.094268  ],
       [ 0.997226  , -0.08934198,  0.02918733,  0.1617235 ],
       [-0.02328595,  0.08592401,  0.99606987,  0.0977145 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
63,"[array([[-0.10437819, -0.9891415 ,  0.07945532, -0.0962745 ],
       [ 0.99413815, -0.1210511 ,  0.03658741,  0.161012  ],
       [-0.02818758,  0.08334097,  0.99616676,  0.0977855 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
64,"[array([[-0.10416931, -0.98893621,  0.08121205, -0.0927325 ],
       [ 0.99416403, -0.12150375,  0.03660914,  0.1616085 ],
       [-0.0280472 ,  0.08510002,  0.99602428,  0.0978305 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
65,"[array([[-0.09879333, -0.99022309,  0.07300102, -0.086455  ],
       [ 0.99482192, -0.11686137,  0.03115633,  0.16243   ],
       [-0.02385825,  0.07616857,  0.99684509,  0.0976665 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
66,"[array([[-0.0588594 , -0.99440648,  0.06871495, -0.080098  ],
       [ 0.99800692, -0.07853407,  0.02679044,  0.1637855 ],
       [-0.02275449,  0.0706269 ,  0.99727656,  0.0976335 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
67,"[array([[-0.04572055, -0.99541958,  0.06869579, -0.0786425 ],
       [ 0.99871476, -0.06490835,  0.02498806,  0.164155  ],
       [-0.02187365,  0.07019086,  0.99732466,  0.0976355 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
68,"[array([[-0.04585004, -0.99542493,  0.0684983 , -0.078651  ],
       [ 0.99870787, -0.06503316,  0.02503196,  0.164145  ],
       [-0.02191733,  0.06999922,  0.99733715,  0.0976375 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
69,"[array([[-0.04589775, -0.99539865,  0.06893814, -0.078631  ],
       [ 0.99870654, -0.06496406,  0.02501562,  0.16415   ],
       [-0.02187807,  0.07043571,  0.99730725,  0.0976395 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
70,"[array([[-0.03604043, -0.9959173 ,  0.07025216, -0.0766835 ],
       [ 0.99909288, -0.05503878,  0.02517429,  0.164466  ],
       [-0.02268279,  0.07155042,  0.99721156,  0.097677  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
71,"[array([[-0.00273007, -0.99779565,  0.06262874, -0.0718905 ],
       [ 0.9997522 , -0.02058647,  0.02222023,  0.1653495 ],
       [-0.02209258,  0.06308758,  0.99778951,  0.0976985 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
72,"[array([[ 0.0252783 , -0.99836083,  0.05700122, -0.0672285 ],
       [ 0.99937446,  0.00648348,  0.02325916,  0.1657925 ],
       [-0.02473242,  0.05686485,  0.99810314,  0.09785   ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
73,"[array([[ 0.04374729, -0.99828931,  0.05356683, -0.064193  ],
       [ 0.99874934,  0.02463155,  0.02184937,  0.1659955 ],
       [-0.02420599,  0.05302582,  0.9983252 ,  0.0979705 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
74,"[array([[ 0.05986056, -0.99808916,  0.04581783, -0.060078  ],
       [ 0.9979562 ,  0.04239318,  0.01963328,  0.1658355 ],
       [-0.02236364,  0.04495384,  0.99875686,  0.098185  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
75,"[array([[ 0.06664568, -0.99792995,  0.04430833, -0.0590055 ],
       [ 0.99754078,  0.04747989,  0.01876469,  0.165743  ],
       [-0.02169664,  0.04337591,  0.99884166,  0.098277  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
76,"[array([[ 0.07147969, -0.99746687,  0.0486291 , -0.0612565 ],
       [ 0.99722576,  0.05280949,  0.01731551,  0.165963  ],
       [-0.02077116,  0.04765503,  0.9986668 ,  0.0981565 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
77,"[array([[ 0.07214245, -0.99667853,  0.06236563, -0.0652375 ],
       [ 0.99729785,  0.05305285,  0.00937205,  0.1659895 ],
       [-0.01387355,  0.06178426,  0.99800937,  0.0979795 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
78,"[array([[ 0.07035089, -0.99592722,  0.07541415, -0.0699325 ],
       [ 0.9972606 ,  0.0508704 ,  0.01752225,  0.166469  ],
       [-0.02284829,  0.07443908,  0.99699833,  0.0977795 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
79,"[array([[ 0.04167457, -0.99665761,  0.07858464, -0.0751795 ],
       [ 0.99888348,  0.02387355,  0.01892226,  0.166082  ],
       [-0.02224891,  0.07812588,  0.99672785,  0.097793  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
80,"[array([[ 0.00513616, -0.99678371,  0.07867079, -0.081051  ],
       [ 0.99969884, -0.01345639,  0.0235188 ,  0.164932  ],
       [-0.02399681,  0.07900102,  0.99662318,  0.0977725 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
81,"[array([[-0.02170486, -0.99597765,  0.07844409, -0.0845925 ],
       [ 0.99947295, -0.0413949 ,  0.0257736 ,  0.16393   ],
       [-0.02413983,  0.07946681,  0.99658529,  0.0977885 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
82,"[array([[-0.03839335, -0.99474151,  0.0824546 , -0.085488  ],
       [ 0.99906642, -0.05904873,  0.02291954,  0.1633725 ],
       [-0.0198051 ,  0.08368139,  0.99633124,  0.0977435 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
83,"[array([[-0.0409393 , -0.99465253,  0.08206906, -0.08496   ],
       [ 0.99896087, -0.06097463,  0.02333983,  0.163361  ],
       [-0.02002876,  0.08335731,  0.99635331,  0.0977445 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
84,"[array([[-0.04205317, -0.99464203,  0.08211032, -0.0848125 ],
       [ 0.99894124, -0.06119364,  0.02206177,  0.1633575 ],
       [-0.01865295,  0.08332212,  0.99637903,  0.097754  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
85,"[array([[-0.04112629, -0.99471158,  0.08118675, -0.084423  ],
       [ 0.99894919, -0.06118818,  0.02351866,  0.1633715 ],
       [-0.02022742,  0.08249167,  0.99642139,  0.097754  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
86,"[array([[-0.04307603, -0.99502172,  0.07656089, -0.0842645 ],
       [ 0.99876778, -0.0618234 ,  0.02789522,  0.163372  ],
       [-0.02464486,  0.07816425,  0.99667461,  0.0978065 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
87,"[array([[-0.04214028, -0.99479652,  0.07967808, -0.084371  ],
       [ 0.99890087, -0.06177524,  0.02383725,  0.16336   ],
       [-0.0205245 ,  0.0810167 ,  0.99653559,  0.097739  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
88,"[array([[-0.04109508, -0.99487965,  0.07921883, -0.084632  ],
       [ 0.99895878, -0.06111521,  0.02302489,  0.163319  ],
       [-0.01981295,  0.08049475,  0.99659131,  0.097726  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
