,transforms
76,"[array([[-0.98237256,  0.19469101, -0.0152597 , -0.14071   ],
       [-0.18640726, -0.98083114,  0.00523253,  0.1717335 ],
       [-0.01401716,  0.00810421,  0.99986987,  0.093762  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
77,"[array([[-0.98235985,  0.19464286, -0.01515361, -0.140709  ],
       [-0.18648059, -0.98084175,  0.0051232 ,  0.1717345 ],
       [-0.0139327 ,  0.00797561,  0.99987205,  0.093762  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
78,"[array([[-0.98238204,  0.19466693, -0.01524987, -0.140711  ],
       [-0.18635713, -0.98083645,  0.00516928,  0.1717365 ],
       [-0.01401968,  0.0080399 ,  0.99987035,  0.093763  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
79,"[array([[-0.98239138,  0.19470937, -0.01521684, -0.1407085 ],
       [-0.18631128, -0.9808275 ,  0.00524021,  0.1717375 ],
       [-0.01397439,  0.00810366,  0.99987049,  0.093762  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
80,"[array([[-0.98240758,  0.19472147, -0.01525688, -0.1407155 ],
       [-0.18622274, -0.9808251 ,  0.0052326 ,  0.1717325 ],
       [-0.01401587,  0.00810416,  0.99986992,  0.093762  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
81,"[array([[-0.982387  ,  0.19477038, -0.01520675, -0.1407045 ],
       [-0.18633425, -0.98081591,  0.0051767 ,  0.1717365 ],
       [-0.01397612,  0.00804025,  0.99987097,  0.093763  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
82,"[array([[-0.98238965,  0.1946183 , -0.01530484, -0.140706  ],
       [-0.18631095, -0.98084713,  0.00503061,  0.1717345 ],
       [-0.01409989,  0.00791389,  0.99987022,  0.093763  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
83,"[array([[-0.98237902,  0.19472779, -0.01513143, -0.140705  ],
       [-0.18638253, -0.98082411,  0.00522409,  0.1717375 ],
       [-0.0138929 ,  0.00807145,  0.99987187,  0.0937625 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
84,"[array([[-0.98240727,  0.19455085, -0.01517015, -0.1407155 ],
       [-0.18623061, -0.98085921,  0.00522083,  0.1717355 ],
       [-0.01393278,  0.00807331,  0.9998713 ,  0.0937655 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
85,"[array([[-0.98239341,  0.19472169, -0.01517501, -0.140708  ],
       [-0.18630373, -0.98082506,  0.00524753,  0.171734  ],
       [-0.01393199,  0.00810285,  0.99987108,  0.093762  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
86,"[array([[-0.9823622 ,  0.19464267, -0.01518773, -0.1407055 ],
       [-0.18646516, -0.98084204,  0.00508547,  0.171734  ],
       [-0.01397338,  0.00794524,  0.99987173,  0.0937625 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
87,"[array([[-0.98237011,  0.19452683, -0.01507134, -0.1407085 ],
       [-0.18643276, -0.98086476,  0.00514296,  0.1717365 ],
       [-0.01384857,  0.00797734,  0.99987319,  0.093762  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
