,transforms
45,"[array([[ 0.81395161, -0.56567489, -0.02126695, -0.0345605 ],
       [ 0.58085177,  0.82431176,  0.01311521,  0.3406325 ],
       [ 0.0096953 , -0.02284833,  0.99968781,  0.1118835 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
46,"[array([[ 0.79860506, -0.58542241, -0.0209844 , -0.046865  ],
       [ 0.60179947,  0.8103787 ,  0.01421366,  0.391661  ],
       [ 0.00820711, -0.02381083,  0.99967876,  0.111818  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
47,"[array([[ 0.80377222, -0.57921558, -0.01947506, -0.056926  ],
       [ 0.59487644,  0.81490156,  0.01202994,  0.437023  ],
       [ 0.00849941, -0.021089  ,  0.99973797,  0.1118005 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
48,"[array([[ 0.81395214, -0.56514611, -0.02040263, -0.0624445 ],
       [ 0.58088759,  0.82461414,  0.0162366 ,  0.465917  ],
       [ 0.00717756, -0.02492788,  0.99965999,  0.111894  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
49,"[array([[ 0.81448477, -0.56461124, -0.01998162, -0.0622285 ],
       [ 0.58014308,  0.82499248,  0.01604467,  0.466127  ],
       [ 0.00696881, -0.02452663,  0.9996716 ,  0.1118775 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
50,"[array([[ 0.80500851, -0.57710765, -0.0203005 , -0.062398  ],
       [ 0.59321627,  0.81631712,  0.01496534,  0.457127  ],
       [ 0.00746677, -0.02393965,  0.99968191,  0.111704  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
51,"[array([[ 0.77293194, -0.61942708, -0.02166717, -0.0635255 ],
       [ 0.6344416 ,  0.78466996,  0.01418361,  0.4240615 ],
       [ 0.00775117, -0.02455892,  0.99966462,  0.111674  ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
52,"[array([[ 0.72531635, -0.67283227, -0.02414009, -0.067815  ],
       [ 0.68830117,  0.73948046,  0.00719917,  0.3703445 ],
       [ 0.01255799, -0.02157272,  0.99968266,  0.1115645 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
53,"[array([[ 0.66068346, -0.73850346, -0.02363729, -0.0705515 ],
       [ 0.75063819,  0.67375471,  0.01241627,  0.3165865 ],
       [ 0.00629889, -0.02583095,  0.99964349,  0.1115745 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
54,"[array([[ 0.5280798 , -0.8390652 , -0.02626822, -0.0692325 ],
       [ 0.84915888,  0.54341236,  0.00714761,  0.278398  ],
       [ 0.00780515, -0.02593446,  0.99962938,  0.1115715 ],
       [ 0.        ,  0.        ,  0.        ,  1.        ]])]"
